GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.shopwise.app.exception,CustomExceptionHandler,36,62,0,0,5,12,4,6,4,6
app,com.shopwise.app.exception,ApiError,0,33,0,0,0,12,0,6,0,6
app,com.shopwise.app.exception,NotFoundException,8,4,0,0,4,2,2,1,2,1
app,com.shopwise.app.dto.request,CreateProductRequest,24,0,0,0,11,0,7,0,7,0
app,com.shopwise.app.dto.request,UpdateProductRequest,24,0,0,0,11,0,7,0,7,0
app,com.shopwise.app.dto.response,ProductResponse,31,14,0,0,13,7,9,4,9,4
app,com.shopwise.app.sale.entity,Sale,4,53,1,1,1,15,2,9,1,9
app,com.shopwise.app.sale.entity,SaleLine,6,47,0,0,2,14,2,8,2,8
app,com.shopwise.app.security,TokenService,0,127,0,8,0,25,0,7,0,3
app,com.shopwise.app.security,SecurityConfig,0,198,0,0,0,32,0,11,0,11
app,com.shopwise.app.security,SecurityErrorWriter,0,28,0,0,0,6,0,2,0,2
app,com.shopwise.app.security,SecurityProperties,0,54,0,0,0,16,0,11,0,11
app,com.shopwise.app.security,LoginResponse,0,33,0,0,0,12,0,6,0,6
app,com.shopwise.app.security,TokenService.IssuedToken,0,15,0,0,0,6,0,3,0,3
app,com.shopwise.app.security,TokenService.TokenSession,0,21,0,0,0,8,0,4,0,4
app,com.shopwise.app.security,BearerTokenFilter,0,40,2,4,0,11,2,4,0,3
app,com.shopwise.app.security,AuthController,0,57,0,2,0,13,0,3,0,2
app,com.shopwise.app.security,LoginRequest,0,17,0,0,0,8,0,5,0,5
app,com.shopwise.app.entity,Product,59,24,0,0,18,10,8,7,8,7
app,com.shopwise.app.sale.service,SaleServiceImpl,30,223,3,15,6,39,3,12,1,5
app,com.shopwise.app.service,ProductServiceImpl,83,18,2,0,15,6,7,2,6,2
app,com.shopwise.app.sale.dto,SaleResponse,0,33,0,0,0,12,0,6,0,6
app,com.shopwise.app.sale.dto,SaleItemRequest,11,15,0,0,6,6,3,3,3,3
app,com.shopwise.app.sale.dto,CreateSaleRequest,7,9,0,0,4,4,2,2,2,2
app,com.shopwise.app.sale.dto,SaleLineResponse,0,33,0,0,0,12,0,6,0,6
app,com.shopwise.app.mapper,ProductMapperImpl,101,3,10,0,30,1,9,1,4,1
app,com.shopwise.app.recommendation,RecommendationController,0,13,0,0,0,4,0,2,0,2
app,com.shopwise.app.recommendation,CollaborativeFilteringRecommendationEngine,34,526,16,46,3,90,14,27,0,10
app,com.shopwise.app.recommendation,CollaborativeFilteringRecommendationEngine.ScoredProduct,0,21,0,0,0,8,0,4,0,4
app,com.shopwise.app.recommendation,RecommendationResponse,0,27,0,0,0,10,0,5,0,5
app,com.shopwise.app.sale.controller,SaleController,5,22,0,0,1,5,1,3,1,3
app,com.shopwise.app.controller,ProductController,41,6,0,0,10,3,5,1,5,1
app,com.shopwise.app,AppApplication,5,3,0,0,2,1,1,1,1,1
